show_id;type;title;release_year;duration;description
s1;Movie;Dick Johnson Is Dead;2020;90 min;"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s2;TV Show;Blood & Water;2021;2 Seasons;"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
s3;TV Show;Ganglands;2021;1 Season;"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
s4;TV Show;Jailbirds New Orleans;2021;1 Season;"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
s5;TV Show;Kota Factory;2021;2 Seasons;"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
s6;TV Show;Midnight Mass;2021;1 Season;"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
s8;Movie;Sankofa;1993;125 min;"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
s9;TV Show;The Great British Baking Show;2021;9 Seasons;"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
s10;Movie;The Starling;2021;104 min;A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
s11;TV Show;"Vendetta: Truth, Lies and The Mafia";2021;1 Season;Sicily boasts a bold "Anti-Mafia" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?
s12;TV Show;Bangkok Breaking;2021;1 Season;"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
s13;Movie;Je Suis Karl;2021;127 min;"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
s14;Movie;Confessions of an Invisible Girl;2021;91 min;"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
s15;TV Show;Crime Stories: India Detectives;2021;1 Season;Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
s16;TV Show;Dear White People;2021;4 Seasons;Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as "post-racial" as it thinks.
s17;Movie;Europe's Most Dangerous Man: Otto Skorzeny in Spain;2020;67 min;"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
s18;TV Show;Falsa identidad;2020;2 Seasons;Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
s19;Movie;Intrusion;2021;94 min;"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
s20;TV Show;Jaguar;2021;1 Season;"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
s21;TV Show;Monsters Inside: The 24 Faces of Billy Milligan;2021;1 Season;"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
s22;TV Show;Resurrection: Ertugrul;2018;5 Seasons;"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
s23;Movie;Avvai Shanmughi;1996;161 min;"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
s24;Movie;Go! Go! Cory Carson: Chrissy Takes the Wheel;2021;61 min;"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
s25;Movie;Jeans;1998;166 min;"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
s26;TV Show;Love on the Spectrum;2021;2 Seasons;"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
s27;Movie;Minsara Kanavu;1997;147 min;A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
s28;Movie;Grown Ups;2010;103 min;"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
s29;Movie;Dark Skies;2013;97 min;"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
s30;Movie;Paranoia;2013;106 min;"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
s31;Movie;Ankahi Kahaniya;2021;111 min;"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
s32;TV Show;Chicago Party Aunt;2021;1 Season;Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
s33;TV Show;Sex Education;2020;3 Seasons;"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
s34;TV Show;Squid Game;2021;1 Season;"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
s35;TV Show;Tayo and Little Wizards;2020;1 Season;Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
s36;Movie;The Father Who Moves Mountains;2021;110 min;"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
s37;Movie;The Stronghold;2021;105 min;"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
s38;TV Show;Angry Birds;2018;1 Season;"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
s39;Movie;Birth of the Dragon;2017;96 min;"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
s40;TV Show;Chhota Bheem;2021;3 Seasons;"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
s41;TV Show;He-Man and the Masters of the Universe;2021;1 Season;Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
s42;Movie;Jaws;1975;124 min;"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
s43;Movie;Jaws 2;1978;116 min;"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
s44;Movie;Jaws 3;1983;98 min;"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
s45;Movie;Jaws: The Revenge;1987;91 min;"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
s46;Movie;My Heroes Were Cowboys;2021;23 min;"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
s47;Movie;Safe House;2012;115 min;Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
s48;TV Show;The Smart Money Woman;2020;1 Season;"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
s49;Movie;Training Day;2001;122 min;A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
s50;TV Show;Castle and Castle;2021;2 Seasons;"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
s51;TV Show;Dharmakshetra;2014;1 Season;"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
s52;Movie;InuYasha the Movie 2: The Castle Beyond the Looking Glass;2002;99 min;"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s53;Movie;InuYasha the Movie 3: Swords of an Honorable Ruler;2003;99 min;The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s54;Movie;InuYasha the Movie 4: Fire on the Mystic Island;2004;88 min;"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
s55;Movie;InuYasha the Movie: Affections Touching Across Time;2001;100 min;"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
s56;TV Show;Nailed It;2021;6 Seasons;"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
s57;Movie;Naruto Shippuden the Movie: Blood Prison;2011;102 min;"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
s58;Movie;Naruto Shippûden the Movie: Bonds;2008;93 min;"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
s59;Movie;Naruto Shippûden the Movie: The Will of Fire;2009;96 min;"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
s60;Movie;Naruto Shippuden: The Movie;2007;95 min;"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
s61;Movie;Naruto Shippuden: The Movie: The Lost Tower;2010;85 min;"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
s62;Movie;Naruto the Movie 2: Legend of the Stone of Gelel;2005;97 min;"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
s63;Movie;Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;2006;95 min;"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
s64;Movie;Naruto the Movie: Ninja Clash in the Land of Snow;2004;83 min;"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
s65;Movie;Nightbooks;2021;103 min;Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
s66;TV Show;Numberblocks;2021;6 Seasons;"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
s67;TV Show;Raja Rasoi Aur Anya Kahaniyan;2014;1 Season;"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
s68;TV Show;Saved by the Bell;1994;9 Seasons;"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
s69;Movie;Schumacher;2021;113 min;"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
s70;TV Show;Stories by Rabindranath Tagore;2015;1 Season;The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
s71;TV Show;Too Hot To Handle: Latino;2021;1 Season;"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
s72;Movie;A StoryBots Space Adventure;2021;13 min;Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
s73;TV Show;Jack Whitehall: Travels with My Father;2021;5 Seasons;"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
s74;Movie;King of Boys;2018;182 min;"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
s75;TV Show;The World's Most Amazing Vacation Rentals;2021;2 Seasons;"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
s76;Movie;You vs. Wild: Out Cold;2021;106 min;"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
s77;TV Show;Yowamushi Pedal;2013;1 Season;"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
s78;Movie;Little Singham - Black Shadow;2021;48 min;Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
s79;Movie;Tughlaq Durbar;2020;145 min;A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
s80;Movie;Tughlaq Durbar (Telugu);2021;145 min;A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
s81;Movie;Firedrake the Silver Dragon;2021;93 min;"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
s82;Movie;Kate;2021;106 min;"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
s83;TV Show;Lucifer;2021;6 Seasons;"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
s84;TV Show;Metal Shop Masters;2021;1 Season;"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
